Attribute,Description
Factor_1,No New Mortgage Credit
Factor_2,No Mortgage
Factor_3,No Student Loans or Credit 60 DPD
Factor_4,No Bank Auto Loans
Factor_6,No Consumer Finance Credit
Factor_7,No Mortgage 60-89 DPD
Factor_8,No Credit Severely Derog
Factor_9,No Auto Loans
Factor_10,No Mortgage Severely Derog
Factor_12,No Mortgage 90-119 DPD
Factor_13,No Mortgage in Bankruptcy
Factor_14,No HELOC 60DPD or Severely Derog
Factor_15,No 1st Mortgage 30-59 DPD
Min_macvat_rank,Acturial rank vs competitors
Min_macvat_rank_change,Change in acturial rank
PID,KBM-ID-Persistent ID (KLNK)
MBR_PERS_GEN_KEY,HUM-ID-Member Person Gen Key
REPID,HUM-ID-REPID
N2CTY,KBM-HUM 1=Member Record
state,KBM-ID-State Code
ZIP,KBM-ZIP Code
ZIP4,KBM-ID-ZIP+4 Code
CALAGE_rc,KBM-Number-Age Calculated-Recoded
GEND,KBM-Category-Gender Code
FPST,KBM-ID-Geo-FIPS State Code
N2CTY,KBM-ID Geo-FIPS County Code
CircleW,OBSOLETE-DO NOT USE IN MODELS-HUM-KBM-Medicare Wedge
Age_ge_65,HUM-Indicator - Age 65 plus
CircleW60_64,OBSOLETE-DO NOT USE IN MODELS-HUM-KBM-Medicare Wedge for Age 60-64
age60_64,HUM-Indicator - Age 60 - 64
APT,KBM-Category-Image Dwelling Type
APT_A,KBM-Dwelling Type-Apartment
APT_B,KBM-Dwelling Type-Business Address
APT_C,KBM-Dwelling Type-Condominium
APT_M,KBM-Dwelling Type-Private Mail Box
APT_N,KBM-Dwelling Type-Nursing Home
APT_P,KBM-Dwelling Type-Post Office Box
APT_S,KBM-Dwelling Type-Single Family Dwelling
APT_T,KBM-Dwelling Type-Mobile Home Park
APT_W,KBM-Dwelling Type-Ship or Marina
BAVGDOLL,KBM-Number-Buyer-Catalog-Average Order Dollars
BAVGOFDL,KBM-Number-Buyer-Catalog-Average Offline Dollars
BAVGONDL,KBM-Number-Buyer-Catalog-Average Online Dollars
BOFDOLLR,KBM-Number-Buyer-Catalog-Offline Dollars
BOFORDER,KBM-Number-Buyer-Catalog-Offline Orders
BONDOLLR,KBM-Number-Buyer-Catalog-Online Dollars
BONORDER,KBM-Number-Buyer-Catalog-Online Orders
BTOTLDOL,KBM-Number-Buyer-Catalog-Total Dollars
BTOTLORD,KBM-Number-Buyer-Catalog-Total Orders
CAT_BUYER,KBM-BLOFORDR_D or BLONORDR_D
CBLU,KBM-Census % Blue Collar Employed
CCIP,KBM-Census Income percentile
CGQS,KBM-Census Geounit Quality Score
CHMI,KBM-Census Median Household Income
CHVA,KBM-Census Median Home Value
CMYS,KBM-Category-Census Education Level
CMYS_1,KBM-Category-Census Education Level-Less than 9th Grade
CMYS_2,KBM-Category-Census Education Level-Less than 12th Grade
CMYS_3,KBM-Category-Census Education Level-High School Diploma
CMYS_4,KBM-Category-Census Education Level-Some College
CMYS_5,KBM-Category-Census Education Level-Associate Degree
CMYS_6,KBM-Category-Census Education Level-Bachelor Degree
CMYS_7,KBM-Category-Census Education Level-Master Degree
CP_F,KBM-HUM-Child Present-Female
CP_M,KBM-HUM-Child Present-Male
CWHT,KBM-Census % White Collar Employed
DaysSinceLastOffLineOrder,KBM-HUM-DaysSinceLastOffLineOrder
DaysSinceLastOnLineOrder,KBM-HUM-DaysSinceLastOnLineOrder
DaysSinceLastRetailOrder,KBM-HUM-DaysSinceLastRetailOrder
EMDM_Y,KBM-Flags-Has Email Access-Yes
FAMP,KBM-Category-Family Position
FAMP_B,KBM-Category-Family Position-Brother
FAMP_C,KBM-Category-Family Position-Child
FAMP_F,KBM-Category-Family Position-Female HOH
FAMP_G,KBM-Category-Family Position-Grandmother
FAMP_H,KBM-Category-Family Position-Husband
FAMP_M,KBM-Category-Family Position-Male HOH
FAMP_P,KBM-Category-Family Position-Grandfather
FAMP_S,KBM-Category-Family Position-Sister
FAMP_W,KBM-Category-Family Position-Wife
GEND_F,KBM-Category-Gender Code-Female
GEND_M,KBM-Category-Gender Code-Male
GENERS,KBM-Category-Generations
GENERS_01s_StrapS,KBM-Category-Generations-Strapped Seniors
GENERS_02s_RR,KBM-Category-Generations-Rich Retirees
GENERS_03s_BloomB,KBM-Category-Generations-Blooming in the Burbs
GENERS_04s_RRent,KBM-Category-Generations-Retired Renters
GENERS_05s_MinM,KBM-Category-Generations-Minorities in the Majority
GENERS_06s_InIntel,KBM-Category-Generations-Indulgent Intellectuals
GENERS_07s_FamF,KBM-Category-Generations-Family Friendly
GENERS_08s_RetR,KBM-Category-Generations-Retirement Retreats
GENERS_09s_UUC,KBM-Category-Generations-Urban Upper Crust
GENERS_10s_BB,KBM-Category-Generations-Boomerang Bohemians
GENERS_11l_STT,KBM-Category-Generations-Small Town Traditionalists
GENERS_12l_GnG,'KBM-Category-Generations-Gold'nGray
GENERS_13l_STS,KBM-Category-Generations-Small Town Singles
GENERS_14l_MM,KBM-Category-Generations-Mainstream Matures
GENERS_15l_AmB,KBM-Category-Generations-American Bedrock
GENERS_16l_UMix,KBM-Category-Generations-Urban Mix
GENERS_17l_UrbanB,KBM-Category-Generations-Urban Blues
GENERS_18l_CreditC,KBM-Category-Generations-Credit Commandos
GENERS_19l_BCS,KBM-Category-Generations-Blue Collar Strugglers
GENERS_20l_SettS,KBM-Category-Generations-Settled Suburbanites
GENERS_21l_ClassR,KBM-Category-Generations-Classic Rockers
GENERS_22l_AllAmO,KBM-Category-Generations-All-American OnLine
GENERS_23t_RuralO,KBM-Category-Generations-Rural Outsiders
GENERS_24t_FamTran,KBM-Category-Generations-Family Transitionals
GENERS_25t_UrOut,KBM-Category-Generations-Urban Outsiders
GENERS_26t_SubM,KBM-Category-Generations-Suburban Mainstream
GENERS_27t_MInf,KBM-Category-Generations-Metro Influentials
GENERS_28t_WW,KBM-Category-Generations-Wired Wanderers
GENERS_29t_USoph,KBM-Category-Generations-Urban Sophisticates
GENERS_30t_SubStr,KBM-Category-Generations-Suburban Strivers
GENERS_31t_ENC,KBM-Category-Generations-Empty Nest Caregivers
GENERS_32t_AFUC,KBM-Category-Generations-American Family Up-and-Coming
GENERS_33t_BCB,KBM-Category-Generations-Blue Collar Blend
GENERS_34t_UStrug,KBM-Category-Generations-Urban Strugglers
GENERS_35x_LExtFam,KBM-Category-Generations-Large Extended Families
GENERS_36x_UrbSing,KBM-Category-Generations-Urban Singles
GENERS_37x_EstSettIn,KBM-Category-Generations-Established & Settling In
GENERS_38x_RuralBMIt,KBM-Category-Generations-Rural & Barely Making It
GENERS_39x_MWChD,KBM-Category-Generations-Married with Children
GENERS_40x_StrugSub,KBM-Category-Generations-Struggling in Suburbia
GENERS_41x_EthDUrB,KBM-Category-Generations-Ethnically Diverse Urbanites
GENERS_42x_MovStC,KBM-Category-Generations-Moving on a Steady Course
GENERS_43x_BigBBC,KBM-Category-Generations-Big Bucks in the Big Cities
GENERS_44y_ESecCSt,KBM-Category-Generations-Ethnic Second-City Strugglers
GENERS_45y_YSMob,"KBM-Category-Generations-Young, Single & Mobile"
GENERS_46y_SupHSD,KBM-Category-Generations-Set Up House & Settle Down
GENERS_47y_StUpsC,KBM-Category-Generations-Start-Ups in the Country
GENERS_48y_ParGo,KBM-Category-Generations-Parents on the Go
GENERS_49y_LOffMD,KBM-Category-Generations-Living Off Mom & Dad
GENERS_50y_ChrRes,KBM-Category-Generations-Chronic Responders
GENERS_51y_YSinglCY,KBM-Category-Generations-Young Singles in the City
GENERS_52y_FamFirst,KBM-Category-Generations-Family First
HHCOMP,KBM-Category-Household Composition
HHCOMP_A,KBM-Category-Household Comp-Married (husband and wife present) with children present
HHCOMP_B,KBM-Category-Household Comp-Married (husband & wife present) with no children present
HHCOMP_C,"KBM-Category-Household Comp-Two persons, one male and one female-marital status unknown-with children present"
HHCOMP_D,"KBM-Category-Household Comp-Two persons, one male and one female - marital status unknown with no children present"
HHCOMP_E,KBM-Category-Household Comp-Male householder with one or more other persons of any gender with children present
HHCOMP_F,KBM-Category-Household Comp-Male householder with one or more persons of any gender with no children present
HHCOMP_G,KBM-Category-Household Comp-Female householder with one or more other persons of any gender with children present
HHCOMP_H,KBM-Category-Household Comp-Female householder with one or more other persons of any gender with no children present
HHCOMP_I,KBM-Category-Household Comp-One person (male householder) with children present
HHCOMP_J,KBM-Category-Household Comp-One person (male householder) with no children present
HHCOMP_K,KBM-Category-Household Comp-One person (female householder) with children present
HHCOMP_L,KBM-Category-Household Comp-One person (female householder) with no children present
HIRI,OBSOLETE-DO NOT USE IN MODELS-KBM-Decile-HealthCare Resp Model 0=likely
HIRI_0,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-0
HIRI_1,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-1
HIRI_2,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-2
HIRI_3,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-3
HIRI_4,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-4
HIRI_5,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-5
HIRI_6,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-6
HIRI_7,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-7
HIRI_8,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-8
HIRI_9,OBSOLETE-DO NOT USE IN MODELS-KBM-Number-Healthcare/Insurance Responder Index-9
HOMSTAT,KBM-NUM-Homeowner Status
HOMSTAT_P,KBM-Flags-Homeowner Status-Probable Homeowner
HOMSTAT_R,KBM-Flags-Homeowner Status-Renter
HOMSTAT_T,KBM-Flags-Homeowner Status-Probable Renter
HOMSTAT_U,KBM-Flags-Homeowner Status-Unknown
HOMSTAT_Y,KBM-Flags-Homeowner Status-Homeowneer
ILOR,KBM-Number-Image Length of Residence
IncPerAdult,HUM-KBM-Income Per Adult
LWCM02,KBM-Number-Alternative Model Score-The probability of the individual taking herbal or natural remedies versus medication remedies
LWCM02rrnk,KBM-Number-Alternative Model Rank-The probability of the individual taking herbal or natural remedies versus medication remedies
LWCM03,KBM-Number-BMI (Body Mass Index) Model Score-The probability of the individual to have a high BMI
LWCM03rrnk,KBM-Number-BMI (Body Mass Index) Model Rank-The probability of the individual to have a high BMI
LWCM04,KBM-Number-Control Model Score-The probability the individual believing they can control their health by being proactive
LWCM04rrnk,KBM-Number-Control Model Rank-The probability the individual believing they can control their health by being proactive
LWCM05,KBM-Number-Diet Model Score-The probability of the individual having poor diet habits
LWCM05rrnk,KBM-Number-Diet Model Rank-The probability of the individual having poor diet habits
LWCM06,KBM-Number-Discipline Model Score-The probability of the individual lacking discipline to lose weight
LWCM06rrnk,KBM-Number-Discipline Model Rank-The probability of the individual lacking discipline to lose weight
LWCM07,KBM-Number-Doctor Model Score-The probability of the individual being less likely to use doctor/physician as a primary source for medical information
LWCM07rrnk,KBM-Number-Doctor Model Rank-The probability of the individual being less likely to use doctor/physician as a primary source for medical information
LWCM08,KBM-Number-Over-indulgent (Alcohol) Model Score-The probability of the individual over-indulging in alcohol
LWCM08rrnk,KBM-Number-Over-indulgent (Alcohol) Model Rank-The probability of the individual over-indulging in alcohol
LWCM09,KBM-Number-Health Model Score-The probability of the individual believing they are healthy
LWCM09rrnk,KBM-Number-Health Model Rank-The probability of the individual believing they are healthy
LWCM10,KBM-Number-No Exercise Model-The probability of the individual not exercising at all
LWCM10rrnk,KBM-Number-No Exercise Rank-The probability of the individual not exercising at all
LWCM11,KBM-Number-Physical Model Score-The probability of the individual getting an annual physical
LWCM11rrnk,KBM-Number-Physical Model Rank-The probability of the individual getting an annual physical
LWCM12,KBM-Number-Tobacco User Model Score-The probability of the individual uses tobacco products
LWCM12rrnk,KBM-Number-Tobacco User Model Rank-The probability of the individual uses tobacco products
MEDA,KBM-Cnty%-Medicare Advantage
MOBPLUS,KBM-Category-Image Mail Order Buyer
MOBPLUS_M,KBM-Category-Image Mail Order Buyer-Multiple
MOBPLUS_P,KBM-Category-Image Mail Order Buyer-Probable
MOBPLUS_S,KBM-Category-Image Mail Order Buyer-Single
N2MAH,KBM-Census Median Age of Householder
N2MOB,KBM-Census % Mobile Homes
N2NCY,KBM-Category-Nielsen County Size
N2NCY_A,KBM-Category-Nielsen County Size-A
N2NCY_B,KBM-Category-Nielsen County Size-B
N2NCY_C,KBM-Category-Nielsen County Size-C
N2NCY_D,KBM-Category-Nielsen County Size-D
N2PBL,KBM-Census % Black
N2PDV,KBM-Census % Divorced or Separated
N2PHI,KBM-Census % Hispanic
N2PMR,KBM-Census % Married
N2PMV,KBM-Census % Motor Vehicle Ownership
N2POO,KBM-Census % Homeowner
N2PSU,KBM-Census % Single Family Dwelling
N2PWC,KBM-Census % Household with Children
N2PWH,KBM-Census % White
N3039_Y,KBM-Flags-Family member 30-39-Yes
N4049_Y,KBM-Flags-Family member 40-49-Yes
N5059_Y,KBM-Flags-Family member 50-59-Yes
N6064_Y,KBM-Flags-Family member 60-64-Yes
N65P_Y,KBM-Flags-Family member 65+-Yes
NAH19,KBM-NUM-Number of Adults in Household V1.9
NOC19,KBM-NUM-Number of Children V1.9
NPH19,KBM-NUM-Number of Persons in Household V1.9
NTWPERYR,HUM-KBM--Net Worth Divided by Age in Years - NTWPERYR = (NETW19_RC/CALAGE)
NWPerAdult,HUM-KBM-Net Worth Per Adult
OFFLINE_BUYER,KBM-HUM Offline Buyer
ONLINE_BUYER,KBM-HUM Online Buyer
PDPE,KBM-Cnty%-Prescription Drug Plan Enrollment
PFFS,OBSOLETE-DO NO TUSE IN MODELS-KBM-Cnty%-Private Fee For Service
POC19,KBM-NUM-Presence of Children V1.9
POC19_P,KBM-Category-Image Children Present 1.9-Probable
POC19_Y,KBM-Category-Image Children Present 1.9-Yes
POEP_Y,KBM-Flags-Presence of Elderly Parent-Yes
RDOLLARS,KBM-Number-Buyer-Retail-Dollars
RET_Y,KBM-Flags-Retired Code-Yes
RETAIL_BUYER,KBM-RORDERDT_D
RORDERS,KBM-Number-Buyer - Retail - Orders
U18_Y,KBM-Flags-Family member under 18-Yes
VETERAN_Y,KBM-Flags-Image Veteran-Yes
AGEINMTHS,HUM-KBM-Age In Months - (CALAGE*12)
BC_M,KBM-Category-Multiple-Image Bank Card
BC_Y,KBM-Category-Single-Image Bank Card
BOAT_Y,KBM-Flags-Boating-Yes
BPAMEX_Y,KBM-Flags-Buyer-Catalog-Payment Amex-Yes
BPCREDIT_Y,KBM-Flags-Buyer-Catalog-Payment Credit Card-Yes
BPDISCVR_Y,KBM-Flags-Buyer-Catalog-Payment Discover-Yes
BPHOUSE_Y,KBM-Flags-Buyer-Catalog-Payment House Charge-Yes
BPMASTER_Y,KBM-Flags-Buyer-Catalog-Payment MasterCard-Yes
BPRETAIL_Y,KBM-Flags-Buyer-Catalog-Payment Retail Card-Yes
BPVISA_Y,KBM-Flags-Buyer-Catalog-Payment Visa-Yes
BUYER_Y,KBM-Flags-Buyer Catalog Data Present-Yes
CCW_Y,KBM-Flags-Concealed Weapons License On File-Yes
CE_Y,KBM-Flags-Credit Active-Computer Electronics-Yes
CO_Y,KBM-Flags-Image Computer Owner-Yes
COLLEGE_Y,KBM-Flags-Image College Graduate-Yes
CONSHOP_Y,KBM-Flags-Buyer-Catalog-Continuity Shopper-Yes
CSR_Y,KBM-Flags-Credit Active-Catalog Showroom Retail-Yes
DART_Y,KBM-Flags-Interest Code-Art/Antique Collecting-Yes
DAUT_Y,KBM-Flags-Interest Code-Automotive Work-Yes
DBBL_Y,KBM-Flags-Interest Code-Bible Reading-Yes
